name,suitable_for_cancer
"Baby food, junior, broccoli and chicken, dinner",1
"Beans, canned, mature seeds, cranberry (roman)",1
"Beans, canned, mature seeds, all types, kidney",1
"Spinach, without salt, drained, boiled, cooked",1
"Baby food, butternut squash and corn, vegetable",1
"Turnips, without salt, drained, boiled, cooked",1
"Carrots, drained solids, no salt added, canned",1
"Cabbage, without salt, drained, boiled, cooked",1
"Baby food, mix vegetables strained, vegetables",1
"Lotus root, with salt, drained, boiled, cooked",1
"Cabbage, without salt, drained, boiled, cooked, red",1
"Tomatoes, packed in tomato juice, canned, ripe, red",1
"Squash, with salt, baked, cooked, butternut, winter",1
"Kale, without salt, drained, boiled, cooked, scotch",1
"Water chestnuts, solids and liquids, canned, Chinese",1
"Sweet potato leaves, without salt, steamed, cooked",1
"Peppers, unprepared, chopped, frozen, green, sweet",1
"Chayote, with salt, drained, boiled, cooked, fruit",1
"Beet greens, without salt, drained, boiled, cooked",1
"Cauliflower, without salt, drained, boiled, cooked",1
"Spinach, solids and liquids, no salt added, canned",1
"Cabbage, without salt, drained, boiled, cooked, savoy",1
"Okra, without salt, drained, boiled, cooked, frozen",1
"Peas, without salt, drained, boiled, edible-podded",1
"Beans, microwaved, all styles, frozen, green, snap",1
"Peas, drained solids, no salt added, canned, green",1
"Radishes, with salt, drained, boiled, cooked, oriental",1
"New Zealand spinach, without salt, drained, boiled, cooked",1
"Corn, without salt, drained, boiled, cooked, yellow, sweet",1
"Yam, without salt, or baked, drained, boiled, cooked",1
"Cress, without salt, drained, boiled, cooked, garden",1
"Tomatoes, year-round average, raw, ripe, red",1
"Potatoes, without salt, skin, cooked in skin, boiled",1
"Potatoes, with salt, skin, cooked in skin, boiled",0
"Lambsquarters, with salt, drained, boiled, cooked",0
"Chard, with salt, drained, boiled, cooked, swiss",0
"Okra, with salt, drained, boiled, cooked, frozen",0
"Kale, with salt, drained, boiled, cooked, frozen",0
"Kale, with salt, drained, boiled, cooked, scotch",0
"Burdock root, with salt, drained, boiled, cooked",0
"Sweet potato, drained solids, syrup pack, canned",0
"Peppers, solids and liquids, canned, red, sweet",0
"Sweet potato leaves, with salt, steamed, cooked",0
"Beans, sweetened, canned, mature seeds, adzuki",0
"Squash, with salt, baked, cooked, acorn, winter",0
"Beets, solids and liquids, regular pack, canned",0
"Mushrooms, with salt, drained, boiled, cooked, white",0
"Turnips, with salt, drained, boiled, cooked, frozen",0
"Squash, with salt, baked, cooked, all varieties, winter",0
"Mustard greens, with salt, drained, boiled, cooked, frozen",0
"Yardlong bean, with salt, drained, boiled, cooked",0
"Bamboo shoots, with salt, drained, boiled, cooked",0
"Vegetables, solids and liquids, canned, mixed",0
"Beans, unprepared, all styles, frozen, green, snap",0
"Spinach, solids and liquids, regular pack, canned",0
"Turnip greens, with salt, drained, boiled, cooked",0
"Peas and carrots, solids and liquids, regular pack, canned",0
"Salsify, without salt, drained, boiled, cooked",0
"Asparagus, with salt, drained, boiled, cooked",0
"Baby food, toddler, beef with vegetables, meat",0
"Butterbur, with salt, drained, boiled, cooked",0
"Baby food, junior, vegetables and beef, dinner",0
"Rutabagas, with salt, drained, boiled, cooked",0
